GTS_EMPLOYER_COMPANY_DETAILS_ID,GTS_EMPLOYER_ID,GTS_EMPLOYER_COMPANY_ID,GTS_JOB_TITLE_ID,GTS_EMPLOYER_JOB_DESCRIPTION,GTS_EMPLOYER_IS_CURRENTLY_WORKING
1,617,322,644,Product Manager defining product vision and aligning with business goals.,TRUE
2,507,384,504,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
3,880,899,912,Project Manager managing cross-functional teams and project timelines.,FALSE
4,702,482,898,Data Analyst performing data exploration and generating insights.,FALSE
5,75,256,444,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
6,946,210,715,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
7,869,249,474,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
8,561,849,640,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
9,84,437,53,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
10,755,561,201,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
11,140,59,51,Project Manager managing cross-functional teams and project timelines.,FALSE
12,860,92,45,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
13,155,434,931,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
14,756,963,807,Project Manager managing cross-functional teams and project timelines.,TRUE
15,934,686,294,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
16,203,603,792,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
17,629,56,73,Project Manager managing cross-functional teams and project timelines.,TRUE
18,341,445,673,Product Manager defining product vision and aligning with business goals.,FALSE
19,805,585,278,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
20,465,789,994,Project Manager managing cross-functional teams and project timelines.,TRUE
21,696,400,40,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
22,177,416,660,Data Analyst performing data exploration and generating insights.,TRUE
23,182,546,116,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
24,35,36,636,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
25,426,387,277,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
26,477,966,688,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
27,98,374,219,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
28,895,361,679,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
29,725,75,579,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
30,800,659,761,Project Manager managing cross-functional teams and project timelines.,TRUE
31,74,677,737,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
32,45,860,532,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
33,965,111,250,Product Manager defining product vision and aligning with business goals.,TRUE
34,984,233,946,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
35,525,789,258,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
36,136,217,654,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
37,869,32,541,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
38,902,868,480,Data Analyst performing data exploration and generating insights.,FALSE
39,605,798,867,Data Analyst performing data exploration and generating insights.,FALSE
40,171,515,59,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
41,626,647,154,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
42,727,931,283,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
43,77,967,810,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
44,292,650,189,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
45,389,427,53,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
46,363,909,784,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
47,592,400,286,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
48,277,837,300,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
49,586,639,51,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
50,107,93,517,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
51,631,288,614,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
52,652,629,88,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
53,236,511,115,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
54,332,538,142,Product Manager defining product vision and aligning with business goals.,FALSE
55,92,107,649,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
56,810,542,8,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
57,469,287,20,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
58,62,446,870,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
59,300,494,1,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
60,559,754,236,Product Manager defining product vision and aligning with business goals.,FALSE
61,688,497,150,Data Analyst performing data exploration and generating insights.,TRUE
62,103,353,947,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
63,322,635,501,Data Analyst performing data exploration and generating insights.,FALSE
64,640,102,572,Data Analyst performing data exploration and generating insights.,FALSE
65,634,248,411,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
66,718,565,695,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
67,833,889,136,Product Manager defining product vision and aligning with business goals.,TRUE
68,402,449,401,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
69,942,585,931,Product Manager defining product vision and aligning with business goals.,TRUE
70,523,759,711,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
71,390,304,706,Project Manager managing cross-functional teams and project timelines.,FALSE
72,422,554,980,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
73,987,436,270,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
74,901,737,41,Data Analyst performing data exploration and generating insights.,FALSE
75,506,988,139,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
76,942,654,995,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
77,963,95,490,Data Analyst performing data exploration and generating insights.,TRUE
78,970,400,463,Data Analyst performing data exploration and generating insights.,TRUE
79,339,859,421,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
80,187,109,118,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
81,574,911,639,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
82,726,299,52,Product Manager defining product vision and aligning with business goals.,FALSE
83,17,333,458,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
84,16,360,602,Data Analyst performing data exploration and generating insights.,TRUE
85,706,524,926,Product Manager defining product vision and aligning with business goals.,FALSE
86,894,959,848,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
87,388,884,115,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
88,561,305,416,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
89,665,360,932,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
90,865,45,681,Data Analyst performing data exploration and generating insights.,FALSE
91,750,29,254,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
92,610,715,796,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
93,293,533,786,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
94,832,447,6,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
95,539,48,6,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
96,539,448,476,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
97,579,363,621,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
98,122,957,917,Data Analyst performing data exploration and generating insights.,TRUE
99,518,8,497,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
100,514,142,938,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
101,965,861,883,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
102,424,628,201,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
103,365,58,317,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
104,801,771,117,Project Manager managing cross-functional teams and project timelines.,FALSE
105,395,948,689,Data Analyst performing data exploration and generating insights.,FALSE
106,640,143,287,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
107,451,739,401,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
108,193,383,795,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
109,592,404,451,Business Analyst gathering requirements and supporting data-driven decisions.,TRUE
110,11,414,673,Data Analyst performing data exploration and generating insights.,TRUE
111,868,779,303,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
112,12,694,294,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
113,157,704,439,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
114,758,360,736,Product Manager defining product vision and aligning with business goals.,FALSE
115,387,874,327,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
116,718,40,95,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
117,592,660,759,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
118,377,751,391,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
119,456,471,666,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
120,559,42,386,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
121,292,631,573,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
122,916,685,441,Product Manager defining product vision and aligning with business goals.,FALSE
123,70,179,273,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
124,775,806,713,Data Analyst performing data exploration and generating insights.,FALSE
125,648,738,705,Cloud Architect developing scalable cloud solutions and ensuring availability.,FALSE
126,367,592,179,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
127,281,68,23,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
128,926,879,315,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
129,101,219,157,Software Developer responsible for building scalable applications and debugging backend systems.,TRUE
130,637,712,304,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
131,502,259,654,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
132,299,988,844,Digital Marketing Executive running campaigns and optimizing digital performance.,FALSE
133,138,268,799,Product Manager defining product vision and aligning with business goals.,FALSE
134,196,523,185,Project Manager managing cross-functional teams and project timelines.,FALSE
135,854,637,978,Data Analyst performing data exploration and generating insights.,TRUE
136,376,533,140,Project Manager managing cross-functional teams and project timelines.,FALSE
137,642,141,745,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
138,894,183,523,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
139,903,508,429,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
140,5,578,802,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
141,793,543,757,Data Analyst performing data exploration and generating insights.,FALSE
142,814,653,162,Project Manager managing cross-functional teams and project timelines.,TRUE
143,827,96,230,Product Manager defining product vision and aligning with business goals.,FALSE
144,15,595,754,Business Analyst gathering requirements and supporting data-driven decisions.,FALSE
145,798,242,665,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
146,528,349,942,Data Analyst performing data exploration and generating insights.,TRUE
147,234,252,724,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
148,747,653,814,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
149,277,839,957,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
150,327,584,699,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
151,334,321,22,Software Developer responsible for building scalable applications and debugging backend systems.,FALSE
152,995,172,741,Digital Marketing Executive running campaigns and optimizing digital performance.,TRUE
153,221,56,529,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
154,855,781,373,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
155,711,187,651,Project Manager managing cross-functional teams and project timelines.,TRUE
156,341,3,642,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
157,392,862,162,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
158,356,52,492,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
159,922,648,924,Data Analyst performing data exploration and generating insights.,TRUE
160,435,121,512,System Administrator maintaining IT infrastructure and ensuring uptime.,TRUE
161,201,763,180,Data Analyst performing data exploration and generating insights.,FALSE
162,969,59,555,Cybersecurity Specialist monitoring threats and securing network systems.,FALSE
163,727,745,715,UI/UX Designer designing intuitive user experiences and interfaces.,FALSE
164,158,177,672,System Administrator maintaining IT infrastructure and ensuring uptime.,FALSE
165,641,762,155,Project Manager managing cross-functional teams and project timelines.,TRUE
166,833,331,540,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
167,154,750,622,Cloud Architect developing scalable cloud solutions and ensuring availability.,TRUE
168,79,225,779,UI/UX Designer designing intuitive user experiences and interfaces.,TRUE
169,248,536,745,Cybersecurity Specialist monitoring threats and securing network systems.,TRUE
