GTS_JOB_APPLICATION_ID,GTS_APPLIED_JOB_ID,GTS_JOB_APPLICATION_DATE,GTS_APPLICANT_ID,GTS_APPLICANT_PROPOSAL,GTS_JOB_APPLICATION_STATUS,GTS_JOB_APPLICATION_UPDATED_DATE,GTS_JOB_APPLICATION_IS_ACTIVE,GTS_JOB_REVIEWED_DATE,GTS_JOB_SHORTLISTED_DATE,GTS_JOB_PROPOSED_FOR_INTERVIEW_DATE,GTS_JOB_REJECTED_DATE,GTS_JOB_SELECTED_DATE,GTS_JOB_OFFERED_DATE,IS_FRAUD_JOB
1,330,05-02-2024,970,Looking forward to bringing my expertise to your organization.,Shortlisted,05-02-2024,FALSE,05-02-2024,05-02-2024,,,,,FALSE
2,322,1/14/2025,828,"With my background, I believe I am a strong fit for this position.",Interview Proposed,1/14/2025,TRUE,1/14/2025,1/14/2025,1/14/2025,,,,FALSE
3,384,2/26/2025,924,I am eager to contribute my skills to this role.,Reviewed,2/26/2025,TRUE,2/26/2025,,,,,,FALSE
4,233,12/14/2023,203,"With my background, I believe I am a strong fit for this position.",Pending,12/14/2023,FALSE,,,,,,,FALSE
5,75,4/21/2024,834,Looking forward to bringing my expertise to your organization.,Shortlisted,4/21/2024,TRUE,4/21/2024,4/21/2024,,,,,FALSE
6,114,4/17/2024,351,Looking forward to bringing my expertise to your organization.,Rejected,4/17/2024,TRUE,4/17/2024,4/17/2024,4/17/2024,4/17/2024,,,FALSE
7,394,02-01-2024,974,"With my background, I believe I am a strong fit for this position.",Selected,02-01-2024,TRUE,02-01-2024,02-01-2024,02-01-2024,,02-01-2024,,FALSE
8,262,03-07-2025,917,Looking forward to bringing my expertise to your organization.,Pending,03-07-2025,TRUE,,,,,,,FALSE
9,628,03-09-2023,758,"With my background, I believe I am a strong fit for this position.",Reviewed,03-09-2023,FALSE,03-09-2023,,,,,,FALSE
10,195,4/15/2024,940,Looking forward to bringing my expertise to your organization.,Offered,4/15/2024,TRUE,4/15/2024,4/15/2024,4/15/2024,,4/15/2024,4/15/2024,FALSE
11,542,5/15/2024,958,"With my background, I believe I am a strong fit for this position.",Selected,5/15/2024,FALSE,5/15/2024,5/15/2024,5/15/2024,,5/15/2024,,FALSE
12,167,2/13/2024,216,"With my background, I believe I am a strong fit for this position.",Rejected,2/13/2024,TRUE,2/13/2024,2/13/2024,2/13/2024,2/13/2024,,,FALSE
13,53,07-04-2023,600,I am passionate about this role and ready to make an impact.,Shortlisted,07-04-2023,FALSE,07-04-2023,07-04-2023,,,,,FALSE
14,389,03-06-2024,776,I am eager to contribute my skills to this role.,Pending,03-06-2024,TRUE,,,,,,,FALSE
15,120,10-02-2023,554,Looking forward to bringing my expertise to your organization.,Reviewed,10-02-2023,FALSE,10-02-2023,,,,,,FALSE
16,394,11/30/2024,242,Looking forward to bringing my expertise to your organization.,Offered,11/30/2024,FALSE,11/30/2024,11/30/2024,11/30/2024,,11/30/2024,11/30/2024,TRUE
17,335,8/24/2024,9,"With my background, I believe I am a strong fit for this position.",Shortlisted,8/24/2024,TRUE,8/24/2024,8/24/2024,,,,,FALSE
18,43,07-12-2024,722,I am passionate about this role and ready to make an impact.,Rejected,07-12-2024,FALSE,07-12-2024,07-12-2024,07-12-2024,07-12-2024,,,FALSE
19,749,8/14/2024,187,I am eager to contribute my skills to this role.,Reviewed,8/14/2024,FALSE,8/14/2024,,,,,,FALSE
20,340,8/21/2024,691,I am eager to contribute my skills to this role.,Reviewed,8/21/2024,TRUE,8/21/2024,,,,,,FALSE
21,206,8/18/2024,1000,I am eager to contribute my skills to this role.,Offered,8/18/2024,TRUE,8/18/2024,8/18/2024,8/18/2024,,8/18/2024,8/18/2024,FALSE
22,126,5/26/2023,122,I am passionate about this role and ready to make an impact.,Pending,5/26/2023,TRUE,,,,,,,FALSE
23,221,12/19/2023,918,I am eager to contribute my skills to this role.,Offered,12/19/2023,TRUE,12/19/2023,12/19/2023,12/19/2023,,12/19/2023,12/19/2023,FALSE
24,924,3/17/2024,712,I am eager to contribute my skills to this role.,Offered,3/17/2024,TRUE,3/17/2024,3/17/2024,3/17/2024,,3/17/2024,3/17/2024,FALSE
25,889,4/17/2025,729,"With my background, I believe I am a strong fit for this position.",Offered,4/17/2025,FALSE,4/17/2025,4/17/2025,4/17/2025,,4/17/2025,4/17/2025,FALSE
26,568,9/20/2023,638,"With my background, I believe I am a strong fit for this position.",Rejected,9/20/2023,TRUE,9/20/2023,9/20/2023,9/20/2023,9/20/2023,,,FALSE
27,241,3/16/2025,144,"With my background, I believe I am a strong fit for this position.",Shortlisted,3/16/2025,TRUE,3/16/2025,3/16/2025,,,,,FALSE
28,441,1/25/2024,602,I am eager to contribute my skills to this role.,Shortlisted,1/25/2024,TRUE,1/25/2024,1/25/2024,,,,,FALSE
29,884,03-12-2024,230,Looking forward to bringing my expertise to your organization.,Selected,03-12-2024,FALSE,03-12-2024,03-12-2024,03-12-2024,,03-12-2024,,FALSE
30,292,5/26/2024,984,"With my background, I believe I am a strong fit for this position.",Offered,5/26/2024,TRUE,5/26/2024,5/26/2024,5/26/2024,,5/26/2024,5/26/2024,FALSE
31,336,8/31/2024,424,"With my background, I believe I am a strong fit for this position.",Pending,8/31/2024,FALSE,,,,,,,FALSE
32,138,8/27/2024,725,"With my background, I believe I am a strong fit for this position.",Reviewed,8/27/2024,TRUE,8/27/2024,,,,,,FALSE
33,877,7/13/2024,370,I am passionate about this role and ready to make an impact.,Shortlisted,7/13/2024,TRUE,7/13/2024,7/13/2024,,,,,FALSE
34,295,1/25/2024,496,Looking forward to bringing my expertise to your organization.,Pending,1/25/2024,FALSE,,,,,,,FALSE
35,576,11/19/2024,701,"With my background, I believe I am a strong fit for this position.",Selected,11/19/2024,TRUE,11/19/2024,11/19/2024,11/19/2024,,11/19/2024,,FALSE
36,675,12/29/2024,635,"With my background, I believe I am a strong fit for this position.",Rejected,12/29/2024,TRUE,12/29/2024,12/29/2024,12/29/2024,12/29/2024,,,FALSE
37,302,08-04-2023,665,I am eager to contribute my skills to this role.,Rejected,08-04-2023,TRUE,08-04-2023,08-04-2023,08-04-2023,08-04-2023,,,FALSE
38,490,04-02-2025,767,I am eager to contribute my skills to this role.,Reviewed,04-02-2025,TRUE,04-02-2025,,,,,,FALSE
39,660,01-10-2023,45,I am eager to contribute my skills to this role.,Rejected,01-10-2023,TRUE,01-10-2023,01-10-2023,01-10-2023,01-10-2023,,,FALSE
40,454,4/29/2023,504,"With my background, I believe I am a strong fit for this position.",Selected,4/29/2023,TRUE,4/29/2023,4/29/2023,4/29/2023,,4/29/2023,,FALSE
41,412,04-06-2023,824,Looking forward to bringing my expertise to your organization.,Pending,04-06-2023,FALSE,,,,,,,FALSE
42,617,03-11-2023,750,Looking forward to bringing my expertise to your organization.,Shortlisted,03-11-2023,TRUE,03-11-2023,03-11-2023,,,,,FALSE
43,354,10/18/2024,452,I am eager to contribute my skills to this role.,Interview Proposed,10/18/2024,TRUE,10/18/2024,10/18/2024,10/18/2024,,,,FALSE
44,871,02-10-2025,322,Looking forward to bringing my expertise to your organization.,Reviewed,02-10-2025,TRUE,02-10-2025,,,,,,FALSE
45,490,3/20/2023,518,I am passionate about this role and ready to make an impact.,Interview Proposed,3/20/2023,TRUE,3/20/2023,3/20/2023,3/20/2023,,,,FALSE
46,888,1/15/2024,759,I am eager to contribute my skills to this role.,Pending,1/15/2024,TRUE,,,,,,,FALSE
47,562,10-05-2024,525,"With my background, I believe I am a strong fit for this position.",Selected,10-05-2024,TRUE,10-05-2024,10-05-2024,10-05-2024,,10-05-2024,,FALSE
48,477,8/24/2024,764,Looking forward to bringing my expertise to your organization.,Interview Proposed,8/24/2024,TRUE,8/24/2024,8/24/2024,8/24/2024,,,,FALSE
49,14,01-12-2025,979,Looking forward to bringing my expertise to your organization.,Shortlisted,01-12-2025,TRUE,01-12-2025,01-12-2025,,,,,FALSE
50,664,07-10-2024,83,"With my background, I believe I am a strong fit for this position.",Offered,07-10-2024,FALSE,07-10-2024,07-10-2024,07-10-2024,,07-10-2024,07-10-2024,FALSE
51,769,07-10-2023,587,Looking forward to bringing my expertise to your organization.,Interview Proposed,07-10-2023,FALSE,07-10-2023,07-10-2023,07-10-2023,,,,FALSE
52,303,5/17/2023,409,"With my background, I believe I am a strong fit for this position.",Interview Proposed,5/17/2023,TRUE,5/17/2023,5/17/2023,5/17/2023,,,,FALSE
53,268,5/25/2024,254,I am passionate about this role and ready to make an impact.,Offered,5/25/2024,TRUE,5/25/2024,5/25/2024,5/25/2024,,5/25/2024,5/25/2024,FALSE
54,269,5/26/2023,989,Looking forward to bringing my expertise to your organization.,Reviewed,5/26/2023,TRUE,5/26/2023,,,,,,FALSE
55,891,07-03-2023,573,Looking forward to bringing my expertise to your organization.,Pending,07-03-2023,TRUE,,,,,,,FALSE
56,525,10/14/2023,319,"With my background, I believe I am a strong fit for this position.",Pending,10/14/2023,TRUE,,,,,,,FALSE
57,697,06-05-2024,533,I am passionate about this role and ready to make an impact.,Rejected,06-05-2024,TRUE,06-05-2024,06-05-2024,06-05-2024,06-05-2024,,,FALSE
58,745,7/14/2024,501,I am passionate about this role and ready to make an impact.,Pending,7/14/2024,FALSE,,,,,,,FALSE
59,51,02-08-2023,274,I am eager to contribute my skills to this role.,Offered,02-08-2023,TRUE,02-08-2023,02-08-2023,02-08-2023,,02-08-2023,02-08-2023,FALSE
60,398,07-07-2024,560,I am eager to contribute my skills to this role.,Selected,07-07-2024,FALSE,07-07-2024,07-07-2024,07-07-2024,,07-07-2024,,FALSE
61,725,9/15/2024,761,"With my background, I believe I am a strong fit for this position.",Reviewed,9/15/2024,TRUE,9/15/2024,,,,,,FALSE
62,479,5/31/2024,184,I am passionate about this role and ready to make an impact.,Offered,5/31/2024,TRUE,5/31/2024,5/31/2024,5/31/2024,,5/31/2024,5/31/2024,FALSE
63,805,05-08-2024,804,I am eager to contribute my skills to this role.,Rejected,05-08-2024,TRUE,05-08-2024,05-08-2024,05-08-2024,05-08-2024,,,FALSE
64,7,01-03-2024,150,I am eager to contribute my skills to this role.,Pending,01-03-2024,FALSE,,,,,,,FALSE
65,779,1/13/2024,878,I am eager to contribute my skills to this role.,Pending,1/13/2024,TRUE,,,,,,,FALSE
66,933,4/14/2023,177,I am eager to contribute my skills to this role.,Rejected,4/14/2023,FALSE,4/14/2023,4/14/2023,4/14/2023,4/14/2023,,,FALSE
67,769,04-07-2023,95,I am passionate about this role and ready to make an impact.,Shortlisted,04-07-2023,TRUE,04-07-2023,04-07-2023,,,,,FALSE
68,858,11-01-2023,220,I am eager to contribute my skills to this role.,Selected,11-01-2023,FALSE,11-01-2023,11-01-2023,11-01-2023,,11-01-2023,,FALSE
69,429,12-07-2024,707,"With my background, I believe I am a strong fit for this position.",Rejected,12-07-2024,TRUE,12-07-2024,12-07-2024,12-07-2024,12-07-2024,,,FALSE
70,810,4/30/2023,980,I am eager to contribute my skills to this role.,Reviewed,4/30/2023,TRUE,4/30/2023,,,,,,FALSE
71,664,4/21/2023,993,"With my background, I believe I am a strong fit for this position.",Shortlisted,4/21/2023,TRUE,4/21/2023,4/21/2023,,,,,FALSE
72,719,2/15/2025,616,"With my background, I believe I am a strong fit for this position.",Pending,2/15/2025,TRUE,,,,,,,FALSE
73,657,1/20/2024,599,Looking forward to bringing my expertise to your organization.,Selected,1/20/2024,TRUE,1/20/2024,1/20/2024,1/20/2024,,1/20/2024,,FALSE
