GTS_JOB_TITLE_ID,GTS_JOB_TITLE_NAME,GTS_JOB_TITLE_DESCRIPTION,GTS_JOB_TITLE_STATUS
1,Project Manager,"Manages project timelines, resources, and budgets to ensure successful project delivery.",FALSE
2,Content Writer,"Creates and writes content for websites, blogs, and other digital platforms to engage the audience.",TRUE
3,Cloud Architect,Designs and manages cloud computing architecture for organizations to ensure scalability and security.,TRUE
4,UI/UX Designer,"Designs the user interface and experience of digital products, focusing on user-centric design.",FALSE
5,Project Manager,"Manages project timelines, resources, and budgets to ensure successful project delivery.",FALSE
6,System Administrator,"Responsible for managing and maintaining IT systems and networks, ensuring their reliability and security.",FALSE
7,Cybersecurity Specialist,Protects an organisations information systems from cyber threats and attacks.,TRUE
8,Digital Marketing Specialist,"Plans, implements, and analyzes marketing campaigns across digital platforms to drive growth.",TRUE
9,Data Scientist,Analyzes and interprets complex data to provide insights and support decision-making.,TRUE
10,System Administrator,"Responsible for managing and maintaining IT systems and networks, ensuring their reliability and security.",TRUE
11,Web Developer,"Designs and develops websites and web applications, focusing on both the front-end and back-end.",TRUE
12,Data Scientist,Analyzes and interprets complex data to provide insights and support decision-making.,TRUE
13,Database Administrator,"Manages and maintains databases, ensuring their performance, integrity, and security.",TRUE
14,Sales Manager,"Oversees the sales department, develops sales strategies, and ensures revenue targets are met.",FALSE
15,Cloud Architect,Designs and manages cloud computing architecture for organizations to ensure scalability and security.,FALSE
16,Cloud Architect,Designs and manages cloud computing architecture for organizations to ensure scalability and security.,FALSE
17,Software Engineer,"Responsible for designing, developing, and maintaining software applications.",TRUE
18,Software Engineer,"Responsible for designing, developing, and maintaining software applications.",FALSE
19,Content Writer,"Creates and writes content for websites, blogs, and other digital platforms to engage the audience.",TRUE
20,Business Analyst,Works with stakeholders to gather and analyze business requirements and propose solutions.,TRUE
21,Project Manager,"Manages project timelines, resources, and budgets to ensure successful project delivery.",FALSE
22,Business Analyst,Works with stakeholders to gather and analyze business requirements and propose solutions.,FALSE
23,Cloud Architect,Designs and manages cloud computing architecture for organizations to ensure scalability and security.,TRUE
