GTS_STATE_ID,GTS_STATE_NAME,GTS_STATE_DESCRIPTION,GTS_STATE_STATUS,GTS_COUNTRY_ID
1,Antioquia,Antioquia is home to the city of Medellín.,TRUE,1
2,England,"England is the largest country in the UK, home to London.",TRUE,5
3,Moscow Oblast,Moscow Oblast surrounds the city of Moscow.,TRUE,23
4,Bavaria,Bavaria is a southeastern German state known for its culture.,FALSE,15
5,Stockholm County,Stockholm County includes Sweden's capital city.,FALSE,15
6,Masovian Voivodeship,"Masovian Voivodeship includes Warsaw, the capital of Poland.",TRUE,22
7,New South Wales,New South Wales includes the city of Sydney.,TRUE,1
8,São Paulo,São Paulo is Brazil's most populous and economically powerful state.,TRUE,27
9,California,California is a western U.S. state known for its tech hubs.,TRUE,5
10,Bavaria,Bavaria is a southeastern German state known for its culture.,TRUE,6
11,New South Wales,New South Wales includes the city of Sydney.,TRUE,18
12,Catalonia,Catalonia is an autonomous community known for Barcelona.,TRUE,18
13,Jalisco,Jalisco is known for mariachi music and tequila.,FALSE,27
14,Antioquia,Antioquia is home to the city of Medellín.,TRUE,22
15,Lombardy,Lombardy is Italy's wealthiest and most populous region.,FALSE,12
16,Riyadh Province,Riyadh Province includes the capital of Saudi Arabia.,FALSE,9
17,Guangdong,Guangdong is a coastal province and a manufacturing hub.,TRUE,23
18,Masovian Voivodeship,"Masovian Voivodeship includes Warsaw, the capital of Poland.",FALSE,25
19,Istanbul Province,Istanbul Province includes the country's largest city.,TRUE,28
20,Metro Manila,Metro Manila is a metropolitan region and national capital.,FALSE,10
21,Bavaria,Bavaria is a southeastern German state known for its culture.,TRUE,21
22,Gyeonggi Province,Gyeonggi surrounds Seoul and is the most populous province.,TRUE,24
23,Lombardy,Lombardy is Italy's wealthiest and most populous region.,TRUE,10
24,Riyadh Province,Riyadh Province includes the capital of Saudi Arabia.,TRUE,8
25,Antioquia,Antioquia is home to the city of Medellín.,TRUE,29
26,Java,Java is Indonesia's most populous and politically important island.,TRUE,13
27,Catalonia,Catalonia is an autonomous community known for Barcelona.,TRUE,11
28,New South Wales,New South Wales includes the city of Sydney.,FALSE,4
29,Bavaria,Bavaria is a southeastern German state known for its culture.,TRUE,18
30,Gyeonggi Province,Gyeonggi surrounds Seoul and is the most populous province.,TRUE,1
31,California,California is a western U.S. state known for its tech hubs.,TRUE,30
32,Stockholm County,Stockholm County includes Sweden's capital city.,FALSE,6
33,Ho Chi Minh City,Ho Chi Minh City is a major city and economic hub in Vietnam.,TRUE,17
34,Antioquia,Antioquia is home to the city of Medellín.,TRUE,19
35,Lagos,Lagos is a major Nigerian state and commercial hub.,TRUE,13
36,Masovian Voivodeship,"Masovian Voivodeship includes Warsaw, the capital of Poland.",TRUE,15
37,Istanbul Province,Istanbul Province includes the country's largest city.,FALSE,19
38,Punjab,Punjab is Pakistan's most populous and agriculturally rich province.,FALSE,6
39,Lagos,Lagos is a major Nigerian state and commercial hub.,FALSE,28
40,England,"England is the largest country in the UK, home to London.",TRUE,20
41,Riyadh Province,Riyadh Province includes the capital of Saudi Arabia.,TRUE,18
42,Gauteng,Gauteng is South Africa's smallest but wealthiest province.,TRUE,14
43,England,"England is the largest country in the UK, home to London.",FALSE,25
44,Bangkok,Bangkok is Thailand's capital and economic center.,TRUE,12
