GTS_TRAINING_ID,GTS_TRAINING_NAME,GTS_TRAINING_DESCRIPTION,GTS_TRAINING_STATUS,GTS_TRAINING_FEES,GTS_TRAINING_DURATION,GTS_TRAINING_FEES_CURRENCY
1,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,13883.72,2 months,NOK
2,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,14808.09,12 months,BHD
3,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,8643.32,12 months,HUF
4,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,1214.09,3 months,UAH
5,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,18969.57,4 months,EGP
6,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,7830.03,4 months,RON
7,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,17132.29,2 months,EGP
8,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,12691.3,6 months,ZAR
9,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,3406.84,6 months,SAR
10,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,19308.43,12 months,KWD
11,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,5024.21,12 months,ZAR
12,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,19992.18,4 months,ARS
13,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,16904.56,12 months,EUR
14,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,519.17,3 months,BGN
15,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,17331.59,3 months,UAH
16,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,15101.28,3 months,UAH
17,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,537.51,3 months,VND
18,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,1144.37,3 months,PEN
19,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,12259.01,9 months,ILS
20,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,9448.82,3 months,PLN
21,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,14667.91,12 months,BRL
22,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,5597.7,2 months,CZK
23,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,3528.82,9 months,QAR
24,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,7462.95,2 months,UAH
25,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,15964.38,9 months,SGD
26,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,13012.88,6 months,LKR
27,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,8283.81,4 months,ZAR
28,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,633.83,12 months,KES
29,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,18489.23,3 months,OMR
30,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,5238.1,12 months,NZD
31,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,3766.64,3 months,AED
32,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,11724.42,12 months,PEN
33,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,13070.76,6 months,NZD
34,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,15785.17,6 months,BHD
35,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,2763.81,12 months,UAH
36,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,4169.8,12 months,MXN
37,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,5290.57,9 months,QAR
38,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,3586.23,12 months,CLP
39,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,3287.38,2 months,BRL
40,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,4483.22,12 months,HKD
41,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,2382.85,2 months,MXN
42,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,16500,3 months,ARS
43,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,13311.6,9 months,IDR
44,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,10739.94,9 months,BDT
45,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,13599.84,6 months,NZD
46,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,2223.66,3 months,IDR
47,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,9081.75,3 months,EUR
48,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,13553.12,6 months,CAD
49,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,19476.75,12 months,SGD
50,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,18542.91,12 months,RON
51,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,18043.06,6 months,QAR
52,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,18776.49,12 months,KES
53,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,15688.06,12 months,JPY
54,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,1557.72,6 months,MXN
55,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,TRUE,5419.82,6 months,KRW
56,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,3254.01,3 months,PKR
57,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,FALSE,16508.3,2 months,PKR
58,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,16348.33,12 months,BDT
59,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,15843.68,4 months,PEN
60,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,3433.05,3 months,KWD
61,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,9948.72,12 months,MXN
62,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,4043.66,6 months,GBP
63,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,1599.68,3 months,INR
64,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,4191.03,2 months,BHD
65,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,3728.65,4 months,NOK
66,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,5603.95,6 months,PEN
67,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,17350.8,2 months,SEK
68,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,11884.31,12 months,KRW
69,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,15945.39,12 months,CHF
70,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,8565.29,4 months,USD
71,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,5189.34,3 months,MXN
72,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,9609.68,4 months,INR
73,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,8982.29,2 months,KWD
74,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,17071.43,4 months,CHF
75,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,14278.47,4 months,KRW
76,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,16850.47,12 months,CHF
77,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",TRUE,18308.88,9 months,ARS
78,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,917.37,12 months,IDR
79,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,5806.43,6 months,JPY
80,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,9872.23,3 months,KWD
81,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,5852.06,6 months,VND
82,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,3346.88,9 months,CLP
83,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,10497.59,3 months,CHF
84,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,18658.41,3 months,KWD
85,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,16791.3,6 months,MYR
86,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",TRUE,9732.07,3 months,EUR
87,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",TRUE,11433.86,12 months,PEN
88,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,2834.04,6 months,MAD
89,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,7678.04,3 months,JPY
90,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,7660.59,9 months,KRW
91,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,6008.54,9 months,PEN
92,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,6816.37,4 months,LKR
93,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,5667.43,3 months,TWD
94,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,1554.24,12 months,LKR
95,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,18718.61,4 months,MXN
96,Advanced Excel for Analysts,"Level up your Excel skills with pivot tables, formulas, and automation.",FALSE,7154.92,9 months,JPY
97,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",TRUE,17147.32,12 months,CZK
98,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,12982.75,12 months,KWD
99,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,2886.35,12 months,KRW
100,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,19115.82,3 months,NOK
101,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,2992.6,12 months,MYR
102,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",TRUE,3228.21,6 months,BDT
103,Communication & Soft Skills,"Enhance workplace communication, presentation, and collaboration skills.",FALSE,859.7,12 months,BGN
104,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,10367.96,3 months,KWD
105,Web Development Essentials,"Master HTML, CSS, and JavaScript to build responsive websites.",FALSE,5080.33,2 months,BGN
106,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,18211.89,12 months,PLN
107,Data Science Bootcamp,"Learn Python, machine learning, and data analysis to build a career in data science.",FALSE,10939.72,2 months,VND
108,Cloud Computing with AWS,"Get hands-on with AWS services like EC2, S3, and Lambda.",FALSE,16636.86,6 months,INR
109,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,19880.22,2 months,SGD
110,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,6839.11,3 months,INR
111,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",FALSE,17534.95,9 months,MYR
112,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,TRUE,2651.06,4 months,KRW
113,Full Stack Web Development,Learn to build full web applications using frontend and backend technologies.,FALSE,15407.5,9 months,NZD
114,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,12951.82,9 months,BGN
115,Digital Marketing Fundamentals,"Explore SEO, email marketing, and social media strategy.",TRUE,5278.79,4 months,SGD
116,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,9752.3,4 months,IDR
117,SQL for Beginners,Start writing SQL queries to manage and analyze databases.,FALSE,17459.34,12 months,CNY
118,Python for AI & ML,Build AI models and machine learning applications using Python.,FALSE,15993.26,4 months,MAD
119,Cybersecurity Foundations,Understand cyber threats and how to protect networks and data.,TRUE,898.27,3 months,SAR
120,Python for AI & ML,Build AI models and machine learning applications using Python.,TRUE,7499.98,6 months,LKR
