GTS_TRAINING_OFFER_ID,GTS_TRAINING_OFFER_POSTED_BY_ID,GTS_TRAINING_ID,GTS_TRAINER_ID,GTS_TRAINING_OFFER_STATUS,GTS_TRAINING_OFFER_START_DATE,GTS_TRAINING_OFFER_END_DATE,GTS_TRAINING_OFFER_TYPE,GTS_TRAINING_OFFER_MEDIUM,GTS_TRAINING_CENTER_ID,GTS_TRAINER_COUNTRY_CODE,GTS_TRAINER_CONTACT_NUMBER,GTS_TRAINING_OFFER_PREREQUISITE,GTS_TRAINING_VIDEO_ID
1,429,522,94,TRUE,06-07-2020,08-06-2020,Part-time,Hybrid,43,185,8030820782,Bachelor's degree in a relevant field,313
2,374,12,503,FALSE,5/17/2020,7/16/2020,Self-paced,Online,35,92,8509127629,Interest in cybersecurity,51
3,745,74,277,FALSE,06-06-2020,08-05-2020,Self-paced,Offline,78,63,9455778436,CSS,446
4,419,701,246,FALSE,05-10-2020,07-09-2020,Part-time,Hybrid,63,195,8458986931,Prior experience with Excel or spreadsheets,865
5,117,6,55,TRUE,1/29/2020,3/29/2020,Full-time,Offline,16,115,9224952888,Experience in project coordination,680
6,221,297,659,TRUE,06-11-2020,08-10-2020,Self-paced,Online,7,170,7325946878,Interest in cybersecurity,957
7,814,55,654,FALSE,02-08-2020,04-08-2020,Full-time,Hybrid,95,180,7885897375,Strong communication skills,946
8,901,618,734,TRUE,4/14/2020,6/13/2020,Self-paced,Offline,82,200,9704957516,Familiarity with cloud tools,798
9,821,351,307,TRUE,01-03-2020,03-03-2020,Full-time,Offline,99,232,9993104728,Basic programming knowledge,100
10,892,679,686,TRUE,3/27/2020,5/26/2020,Full-time,Online,64,210,7020920016,Comfortable with remote collaboration tools,294
11,766,557,225,TRUE,06-05-2020,08-04-2020,Full-time,Hybrid,68,12,8777467894,Portfolio of design projects (for UI/UX),431
12,796,618,490,FALSE,01-02-2020,03-02-2020,Full-time,Offline,55,235,9977692936,Portfolio of design projects (for UI/UX),12
13,422,678,565,TRUE,2/29/2020,4/29/2020,Full-time,Online,1,160,9110485376,Experience in project coordination,210
14,391,184,261,TRUE,5/16/2020,7/15/2020,Self-paced,Online,44,13,7799157836,Completion of Intro to Python course,966
15,389,63,956,FALSE,4/17/2020,6/16/2020,Part-time,Offline,21,247,9569341551,Portfolio of design projects (for UI/UX),902
16,475,668,226,TRUE,03-02-2020,05-01-2020,Full-time,Online,31,59,6917715797,CSS,914
17,68,162,90,TRUE,5/30/2020,7/29/2020,Full-time,Online,18,169,6587061869,Completion of Intro to Python course,781
18,80,760,764,TRUE,1/27/2020,3/27/2020,Full-time,Online,90,23,8150509401,Familiarity with cloud tools,94
19,348,376,844,FALSE,2/17/2020,4/17/2020,Part-time,Hybrid,26,166,7098011723,Previous coursework in networking fundamentals,34
20,510,943,374,TRUE,5/26/2020,7/25/2020,Self-paced,Online,66,160,6433087872,Prior experience with Excel or spreadsheets,765
21,658,671,845,TRUE,6/28/2020,8/27/2020,Part-time,Hybrid,8,124,7810871315,Experience in project coordination,790
22,728,412,524,FALSE,3/13/2020,05-12-2020,Self-paced,Online,53,106,9781734976,Prior experience with Excel or spreadsheets,724
23,397,930,877,TRUE,2/27/2020,4/27/2020,Full-time,Hybrid,28,186,8862285681,Experience in project coordination,163
24,884,529,956,FALSE,02-09-2020,04-09-2020,Full-time,Online,76,126,8085198637,Bachelor's degree in a relevant field,707
25,54,559,794,FALSE,6/15/2020,8/14/2020,Part-time,Hybrid,96,70,7301492437,Understanding of data structures and algorithms,329
26,992,409,806,TRUE,3/20/2020,5/19/2020,Full-time,Hybrid,55,166,6070421074,Strong communication skills,179
27,571,52,813,TRUE,6/16/2020,8/15/2020,Self-paced,Offline,68,42,6898256832,Bachelor's degree in a relevant field,740
28,97,465,690,FALSE,06-05-2020,08-04-2020,Part-time,Online,61,231,8399808487,Passion for tech and innovation,693
29,150,418,813,FALSE,5/15/2020,7/14/2020,Full-time,Offline,65,16,9968707989,Strong communication skills,133
30,383,708,13,TRUE,06-10-2020,08-09-2020,Full-time,Online,28,170,6014179515,Passion for tech and innovation,790
31,633,199,151,FALSE,4/13/2020,06-12-2020,Self-paced,Online,39,212,8240185412,Awareness of marketing strategies,86
32,672,665,724,TRUE,3/18/2020,5/17/2020,Full-time,Online,84,230,6202501423,Familiarity with Agile or Scrum methodologies,278
33,169,913,368,FALSE,04-05-2020,06-04-2020,Full-time,Hybrid,32,117,9171959036,Portfolio of design projects (for UI/UX),211
34,3,812,707,TRUE,06-07-2020,08-06-2020,Self-paced,Hybrid,29,188,7168155889,and JavaScript,655
35,356,141,688,FALSE,03-06-2020,05-05-2020,Self-paced,Offline,8,25,7540926420,Exposure to databases and SQL,538
36,686,655,142,TRUE,03-04-2020,05-03-2020,Self-paced,Offline,52,228,7125468229,Prior experience with Excel or spreadsheets,99
37,588,234,707,FALSE,6/25/2020,8/24/2020,Self-paced,Offline,22,179,7805130514,Familiarity with cloud tools,159
38,523,516,929,FALSE,03-09-2020,05-08-2020,Full-time,Hybrid,77,172,6540835591,Previous coursework in networking fundamentals,701
39,926,274,410,TRUE,05-08-2020,07-07-2020,Full-time,Offline,80,40,9723546986,No prerequisites required,712
40,483,567,638,FALSE,05-05-2020,07-04-2020,Part-time,Hybrid,17,93,7666052620,Basic understanding of machine learning concepts,906
41,543,215,596,TRUE,02-04-2020,04-04-2020,Part-time,Hybrid,98,26,7042625089,Comfortable with remote collaboration tools,132
42,159,937,627,FALSE,5/18/2020,7/17/2020,Self-paced,Offline,55,213,7255095472,Previous coursework in networking fundamentals,238
43,938,575,269,FALSE,05-05-2020,07-04-2020,Full-time,Offline,90,56,8352752355,Completion of Intro to Python course,674
44,914,446,3,FALSE,3/30/2020,5/29/2020,Full-time,Online,93,34,9870872796,Completion of Intro to Python course,158
45,129,933,969,FALSE,4/15/2020,6/14/2020,Part-time,Online,35,227,8068113875,CSS,593
46,788,932,300,FALSE,06-05-2020,08-04-2020,Full-time,Online,78,9,7836056831,Willingness to learn new technologies,386
47,604,460,632,TRUE,06-08-2020,08-07-2020,Self-paced,Offline,63,248,9198556268,Exposure to databases and SQL,647
48,169,859,320,FALSE,6/15/2020,8/14/2020,Self-paced,Hybrid,11,87,8741358778,and JavaScript,578
49,104,567,365,FALSE,3/13/2020,05-12-2020,Full-time,Offline,88,36,7737887177,Bachelor's degree in a relevant field,787
50,774,147,607,TRUE,05-12-2020,07-11-2020,Self-paced,Hybrid,21,119,7630607692,Willingness to learn new technologies,72
51,27,620,448,TRUE,2/19/2020,4/19/2020,Full-time,Online,39,137,7259935123,Passion for tech and innovation,410
52,473,289,973,TRUE,5/27/2020,7/26/2020,Full-time,Online,87,64,7436354472,Exposure to databases and SQL,593
53,297,944,722,FALSE,3/15/2020,5/14/2020,Self-paced,Hybrid,12,198,9664786390,No prerequisites required,708
54,531,530,55,TRUE,6/19/2020,8/18/2020,Part-time,Online,83,213,9944751763,Awareness of marketing strategies,481
55,984,457,712,TRUE,4/26/2020,6/25/2020,Self-paced,Offline,41,183,6617569225,Understanding of data structures and algorithms,74
56,847,981,861,TRUE,01-12-2020,03-12-2020,Part-time,Offline,1,121,6598514866,Interest in cybersecurity,253
57,754,676,832,FALSE,01-11-2020,03-11-2020,Full-time,Online,78,53,7550769462,Bachelor's degree in a relevant field,178
58,691,244,77,TRUE,6/29/2020,8/28/2020,Full-time,Online,32,126,7496372836,Experience in project coordination,268
59,701,222,143,TRUE,6/28/2020,8/27/2020,Part-time,Offline,26,113,7060311518,Familiarity with Agile or Scrum methodologies,78
60,437,953,557,TRUE,4/22/2020,6/21/2020,Part-time,Online,20,8,9999955478,Knowledge of HTML,49
61,565,73,870,FALSE,3/14/2020,5/13/2020,Part-time,Online,18,7,9424423952,CSS,857
62,12,94,990,FALSE,04-12-2020,06-11-2020,Part-time,Online,86,203,7662534860,Familiarity with Agile or Scrum methodologies,555
63,458,287,184,FALSE,1/19/2020,3/19/2020,Part-time,Online,60,80,9869041300,Passion for tech and innovation,664
64,424,103,776,FALSE,5/27/2020,7/26/2020,Part-time,Hybrid,19,1,8267054060,and JavaScript,470
65,238,361,525,TRUE,4/30/2020,6/29/2020,Part-time,Offline,15,78,6803994615,Portfolio of design projects (for UI/UX),431
66,37,913,801,TRUE,1/25/2020,3/25/2020,Part-time,Offline,52,55,9972904367,Knowledge of HTML,944
67,312,612,230,FALSE,06-02-2020,08-01-2020,Self-paced,Hybrid,34,204,7449527061,Prior experience with Excel or spreadsheets,864
68,462,629,796,FALSE,4/25/2020,6/24/2020,Part-time,Hybrid,80,219,7422049752,Comfortable with remote collaboration tools,782
69,641,706,719,TRUE,4/30/2020,6/29/2020,Part-time,Online,21,161,6921600247,Experience in project coordination,227
70,693,98,743,TRUE,04-01-2020,5/31/2020,Full-time,Hybrid,98,32,9323140601,Previous coursework in networking fundamentals,760
71,14,406,454,TRUE,3/29/2020,5/28/2020,Part-time,Offline,3,91,6054741487,Awareness of marketing strategies,97
72,788,846,870,TRUE,6/25/2020,8/24/2020,Full-time,Online,61,7,7058815321,Previous coursework in networking fundamentals,916
73,835,604,292,TRUE,05-11-2020,07-10-2020,Self-paced,Hybrid,98,140,6098430079,Strong communication skills,770
74,632,918,655,TRUE,06-09-2020,08-08-2020,Part-time,Offline,17,186,9210397473,Exposure to databases and SQL,472
75,34,788,64,FALSE,01-03-2020,03-03-2020,Part-time,Online,60,192,6322531568,Willingness to learn new technologies,527
76,899,323,328,FALSE,01-07-2020,03-07-2020,Full-time,Online,16,151,6270989512,Previous coursework in networking fundamentals,506
77,470,313,562,FALSE,01-05-2020,03-05-2020,Full-time,Hybrid,60,214,7038079788,CSS,542
78,795,262,113,TRUE,4/22/2020,6/21/2020,Part-time,Hybrid,100,86,6260605442,CSS,940
79,636,920,757,FALSE,05-12-2020,07-11-2020,Self-paced,Offline,5,166,6624518274,No prerequisites required,583
80,972,51,894,FALSE,3/20/2020,5/19/2020,Self-paced,Online,68,237,9776021514,Bachelor's degree in a relevant field,685
81,598,567,842,FALSE,1/19/2020,3/19/2020,Full-time,Offline,81,110,8333232234,Portfolio of design projects (for UI/UX),452
82,71,722,997,FALSE,06-01-2020,7/31/2020,Full-time,Online,38,21,8411917792,Strong communication skills,785
83,550,733,379,TRUE,3/19/2020,5/18/2020,Full-time,Hybrid,8,51,8841283038,Familiarity with Agile or Scrum methodologies,861
84,962,175,335,FALSE,6/19/2020,8/18/2020,Part-time,Offline,71,7,9988356850,Familiarity with cloud tools,789
85,775,286,287,TRUE,02-03-2020,04-03-2020,Full-time,Offline,22,120,7147033851,Willingness to learn new technologies,174
86,628,836,628,TRUE,04-02-2020,06-01-2020,Full-time,Hybrid,2,187,9849994992,Completion of Intro to Python course,777
87,908,531,476,FALSE,04-12-2020,06-11-2020,Part-time,Hybrid,66,94,6336161266,and JavaScript,810
88,524,757,29,TRUE,1/14/2020,3/14/2020,Self-paced,Offline,16,104,7075566379,Familiarity with cloud tools,780
89,323,233,1,FALSE,1/14/2020,3/14/2020,Self-paced,Online,72,64,9513362064,Familiarity with cloud tools,365
90,419,110,363,FALSE,5/14/2020,7/13/2020,Self-paced,Hybrid,25,108,8761908743,Exposure to databases and SQL,117
91,852,562,878,TRUE,5/24/2020,7/23/2020,Part-time,Offline,13,210,8551653233,Portfolio of design projects (for UI/UX),481
92,956,723,141,FALSE,01-03-2020,03-03-2020,Self-paced,Online,46,188,9592253055,Basic understanding of machine learning concepts,75
93,285,594,988,FALSE,06-05-2020,08-04-2020,Self-paced,Hybrid,31,10,9826435928,No prerequisites required,469
94,223,337,631,TRUE,1/18/2020,3/18/2020,Full-time,Online,26,61,7960453622,Completion of Intro to Python course,331
95,358,269,369,FALSE,5/18/2020,7/17/2020,Part-time,Hybrid,69,221,9429385369,Interest in cybersecurity,91
96,374,962,166,TRUE,4/14/2020,6/13/2020,Self-paced,Online,87,178,9314315569,Willingness to learn new technologies,968
97,321,369,584,FALSE,5/13/2020,07-12-2020,Part-time,Offline,35,245,9400648723,Experience in project coordination,621
98,291,753,457,FALSE,1/27/2020,3/27/2020,Full-time,Hybrid,91,202,9365672465,Basic understanding of machine learning concepts,504
99,824,124,903,FALSE,04-01-2020,5/31/2020,Self-paced,Hybrid,23,166,6970224194,Willingness to learn new technologies,948
100,928,692,899,TRUE,02-03-2020,04-03-2020,Part-time,Offline,54,106,8229563259,Portfolio of design projects (for UI/UX),780
101,60,892,37,FALSE,4/30/2020,6/29/2020,Full-time,Online,30,133,8717088005,Familiarity with cloud tools,666
102,454,481,392,TRUE,6/19/2020,8/18/2020,Part-time,Hybrid,80,238,6369426537,Strong communication skills,990
103,1000,572,896,FALSE,3/31/2020,5/30/2020,Part-time,Hybrid,8,92,8734734021,Previous coursework in networking fundamentals,426
104,508,895,108,FALSE,4/21/2020,6/20/2020,Full-time,Online,55,8,9351516971,Understanding of data structures and algorithms,349
105,859,250,227,FALSE,03-12-2020,05-11-2020,Self-paced,Hybrid,45,1,6073415556,Experience in project coordination,2
106,948,669,367,FALSE,02-11-2020,04-11-2020,Part-time,Hybrid,14,138,7526194732,Basic programming knowledge,107
107,752,202,16,FALSE,4/24/2020,6/23/2020,Full-time,Hybrid,80,215,6562456136,Understanding of data structures and algorithms,173
108,629,787,957,TRUE,05-01-2020,6/30/2020,Part-time,Online,29,87,9368634254,Experience in project coordination,592
