GTS_TRAINING_VIDEO_ID,GTS_TRAINING_VIDEO_NAME,GTS_TRAINING_VIDEO_DESCRIPTION,GTS_TRAINING_VIDEO_PATH,GTS_TRAINING_VIDEO_UPLOADED_DATE,GTS_TRAINING_VIDEO_IS_ACTIVE
1,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,06-07-2024,FALSE
2,Data Science Bootcamp - Video 1,This video covers Data Science Bootcamp in detail.,https://training.gts.org/videos/data_science_bootcamp.mp4,09-03-2024,TRUE
3,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,1/25/2025,TRUE
4,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,1/20/2025,TRUE
5,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,7/21/2024,FALSE
6,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,3/16/2025,FALSE
7,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,12-11-2024,TRUE
8,SQL for Beginners - Video 1,This video covers SQL for Beginners in detail.,https://training.gts.org/videos/sql_for_beginners.mp4,09-03-2024,FALSE
9,Python for AI & ML - Video 1,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,7/21/2024,FALSE
10,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,6/15/2024,FALSE
11,Cloud Computing with AWS - Video 1,This video covers Cloud Computing with AWS in detail.,https://training.gts.org/videos/cloud_computing_with_aws.mp4,12-08-2024,FALSE
12,Advanced Excel for Analysts - Video 1,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,10/16/2024,TRUE
13,Web Development Essentials - Video 1,This video covers Web Development Essentials in detail.,https://training.gts.org/videos/web_development_essentials.mp4,4/15/2025,FALSE
14,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,10-11-2024,TRUE
15,Cybersecurity Foundations - Video 1,This video covers Cybersecurity Foundations in detail.,https://training.gts.org/videos/cybersecurity_foundations.mp4,02-04-2025,FALSE
16,Digital Marketing Fundamentals - Video 1,This video covers Digital Marketing Fundamentals in detail.,https://training.gts.org/videos/digital_marketing_fundamentals.mp4,1/27/2025,TRUE
17,Advanced Excel for Analysts - Video 2,This video covers Advanced Excel for Analysts in detail.,https://training.gts.org/videos/advanced_excel_for_analysts.mp4,10/13/2024,TRUE
18,Full Stack Web Development - Video 2,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,9/23/2024,TRUE
19,Full Stack Web Development - Video 1,This video covers Full Stack Web Development in detail.,https://training.gts.org/videos/full_stack_web_development.mp4,8/21/2024,TRUE
20,Python for AI & ML - Video 2,This video covers Python for AI & ML in detail.,https://training.gts.org/videos/python_for_ai_&_ml.mp4,4/13/2025,TRUE
21,Communication & Soft Skills - Video 1,This video covers Communication & Soft Skills in detail.,https://training.gts.org/videos/communication_&_soft_skills.mp4,12/17/2024,TRUE
