GTS_USER_PROJECT_ID,GTS_USER_ID,GTS_USER_PROJECT_NAME,GTS_USER_PROJECT_SKILL_IDS,GTS_USER_PROJECT_START_DATE,GTS_USER_PROJECT_END_DATE,GTS_USER_TEAM_SIZE,GTS_PROJECT_DESCRIPTION,GTS_PROJECT_INSTITUTE_ID,GTS_PROJECT_COMPANY_ID
1,218,Project on AI for Healthcare,3,7/27/2023,7/27/2023,1,Developed a model for predicting health outcomes using machine learning.,53,48
2,47,Content Marketing Campaign,5,06-05-2020,06-05-2020,6,"Created blog posts, videos, and infographics for a product launch.",37,340
3,639,Project on AI for Healthcare,5,09-05-2024,09-05-2024,5,Developed a model for predicting health outcomes using machine learning.,79,437
4,295,Content Marketing Campaign,8,6/28/2024,6/28/2024,6,"Created blog posts, videos, and infographics for a product launch.",20,453
5,184,E-commerce Website Development,18,2/24/2023,2/24/2023,1,Built a responsive web store with secure payments and user login.,87,227
6,100,Cloud Architecture Design,15,3/25/2020,3/25/2020,9,Designed a scalable cloud system using AWS services for high uptime.,64,33
7,127,Content Marketing Campaign,8,06-12-2021,06-12-2021,2,"Created blog posts, videos, and infographics for a product launch.",65,251
8,560,E-commerce Website Development,18,09-06-2021,09-06-2021,4,Built a responsive web store with secure payments and user login.,32,107
9,324,Content Marketing Campaign,2,6/17/2022,6/17/2022,8,"Created blog posts, videos, and infographics for a product launch.",56,271
10,582,Cloud Architecture Design,7,8/13/2024,8/13/2024,5,Designed a scalable cloud system using AWS services for high uptime.,93,362
11,245,Content Marketing Campaign,20,12-10-2024,12-10-2024,10,"Created blog posts, videos, and infographics for a product launch.",79,489
12,313,Content Marketing Campaign,14,01-09-2020,01-09-2020,5,"Created blog posts, videos, and infographics for a product launch.",80,294
13,696,Mobile App Prototype Design,13,1/17/2022,1/17/2022,3,Prototyped a mobile app with a strong focus on UX and accessibility.,66,112
14,27,Mobile App Prototype Design,16,1/15/2021,1/15/2021,1,Prototyped a mobile app with a strong focus on UX and accessibility.,100,128
15,499,Cloud Architecture Design,20,1/26/2021,1/26/2021,5,Designed a scalable cloud system using AWS services for high uptime.,63,47
16,733,E-commerce Website Development,1,9/14/2024,9/14/2024,10,Built a responsive web store with secure payments and user login.,97,220
17,109,Mobile App Prototype Design,19,10/23/2022,10/23/2022,1,Prototyped a mobile app with a strong focus on UX and accessibility.,70,76
18,941,Project on AI for Healthcare,20,07-01-2020,07-01-2020,3,Developed a model for predicting health outcomes using machine learning.,54,54
19,203,Mobile App Prototype Design,2,2/19/2023,2/19/2023,2,Prototyped a mobile app with a strong focus on UX and accessibility.,34,51
20,979,Cloud Architecture Design,19,3/23/2022,3/23/2022,4,Designed a scalable cloud system using AWS services for high uptime.,67,166
21,437,Mobile App Prototype Design,20,3/20/2021,3/20/2021,5,Prototyped a mobile app with a strong focus on UX and accessibility.,59,59
22,636,Network Security Assessment,15,04-12-2022,04-12-2022,5,Conducted audits and applied firewall and encryption strategies.,5,187
23,69,Project on AI for Healthcare,3,10/17/2023,10/17/2023,4,Developed a model for predicting health outcomes using machine learning.,52,205
24,40,Mobile App Prototype Design,8,9/13/2020,9/13/2020,7,Prototyped a mobile app with a strong focus on UX and accessibility.,58,380
25,59,Network Security Assessment,8,6/15/2022,6/15/2022,4,Conducted audits and applied firewall and encryption strategies.,29,250
26,328,Mobile App Prototype Design,12,8/21/2020,8/21/2020,2,Prototyped a mobile app with a strong focus on UX and accessibility.,100,85
27,20,E-commerce Website Development,14,1/19/2023,1/19/2023,10,Built a responsive web store with secure payments and user login.,28,257
28,778,Cloud Architecture Design,13,12/21/2022,12/21/2022,7,Designed a scalable cloud system using AWS services for high uptime.,54,261
29,930,Content Marketing Campaign,2,6/24/2023,6/24/2023,10,"Created blog posts, videos, and infographics for a product launch.",83,205
30,933,Mobile App Prototype Design,8,3/19/2020,3/19/2020,10,Prototyped a mobile app with a strong focus on UX and accessibility.,41,386
31,24,Cloud Architecture Design,14,06-01-2021,06-01-2021,7,Designed a scalable cloud system using AWS services for high uptime.,58,168
32,609,Project on AI for Healthcare,7,10/20/2023,10/20/2023,3,Developed a model for predicting health outcomes using machine learning.,25,153
33,499,Network Security Assessment,7,05-07-2020,05-07-2020,8,Conducted audits and applied firewall and encryption strategies.,2,31
34,317,Network Security Assessment,7,05-01-2020,05-01-2020,3,Conducted audits and applied firewall and encryption strategies.,86,101
35,914,E-commerce Website Development,18,05-08-2022,05-08-2022,6,Built a responsive web store with secure payments and user login.,18,382
36,905,Project on AI for Healthcare,12,07-05-2020,07-05-2020,2,Developed a model for predicting health outcomes using machine learning.,71,377
37,477,Mobile App Prototype Design,6,10-03-2021,10-03-2021,1,Prototyped a mobile app with a strong focus on UX and accessibility.,15,397
38,86,Content Marketing Campaign,12,01-02-2020,01-02-2020,6,"Created blog posts, videos, and infographics for a product launch.",58,373
39,12,E-commerce Website Development,14,08-01-2021,08-01-2021,10,Built a responsive web store with secure payments and user login.,33,323
40,353,Project on AI for Healthcare,4,9/14/2020,9/14/2020,3,Developed a model for predicting health outcomes using machine learning.,24,315
41,193,Project on AI for Healthcare,11,5/26/2021,5/26/2021,9,Developed a model for predicting health outcomes using machine learning.,78,65
42,66,Mobile App Prototype Design,10,11/28/2024,11/28/2024,5,Prototyped a mobile app with a strong focus on UX and accessibility.,30,328
43,859,Content Marketing Campaign,9,4/29/2021,4/29/2021,7,"Created blog posts, videos, and infographics for a product launch.",36,437
44,237,Content Marketing Campaign,20,6/17/2022,6/17/2022,1,"Created blog posts, videos, and infographics for a product launch.",21,466
