GTS_USER_WORK_EXPERIENCE_ID,GTS_USER_ID,GTS_USER_COMPANY_ID,GTS_USER_JOB_TITLE_ID,GTS_USER_PROJECT_SKILL_IDS,GTS_USER_JOB_DESCRIPTION,GTS_USER_WORK_START_DATE,IS_CURRENTLY_WORKING,GTS_USER_WORK_END_DATE,GTS_CITY_ID,IS_SELF_EMPLOYED
1,70,743,535,"478,43",Developed user-centric frontend applications.,4/19/2011,FALSE,4/19/2013,113,FALSE
2,339,,672,262,Designed and deployed scalable backend services.,02-05-2014,FALSE,02-05-2016,768,TRUE
3,523,,255,399,Automated reporting and data visualization tasks.,6/21/2018,TRUE,,,FALSE
4,685,408,513,"3,36,55,435",Led DevOps efforts across multiple environments.,6/21/2013,FALSE,6/21/2017,749,TRUE
5,378,576,737,"19,41,02,373",Managed cross-functional agile teams.,2/15/2023,TRUE,,818,TRUE
6,843,995,821,258,Led DevOps efforts across multiple environments.,10/18/2022,FALSE,10/18/2023,,TRUE
7,544,884,997,"2,74,138",Led DevOps efforts across multiple environments.,02-07-2019,FALSE,02-07-2021,366,TRUE
8,196,875,876,"16,51,97,101",Led DevOps efforts across multiple environments.,05-06-2012,TRUE,,322,TRUE
9,407,,346,"38,91,31,171",Developed user-centric frontend applications.,06-03-2023,FALSE,06-03-2027,373,FALSE
10,816,228,287,"3,76,387",Automated reporting and data visualization tasks.,10/22/2023,TRUE,,115,TRUE
11,503,749,309,364,Automated reporting and data visualization tasks.,10/26/2010,TRUE,,814,FALSE
12,208,310,629,"400,1,48",Designed and deployed scalable backend services.,12/15/2012,FALSE,12/15/2014,248,TRUE
13,184,514,375,213,Oversaw quality assurance and testing processes.,12/19/2016,FALSE,12/19/2020,288,TRUE
14,511,,151,309,Managed cross-functional agile teams.,08-09-2020,FALSE,08-09-2021,216,TRUE
15,596,,246,"3,14,52,137",Automated reporting and data visualization tasks.,4/16/2023,FALSE,4/16/2027,435,FALSE
16,449,702,89,"3,00,214",Managed cross-functional agile teams.,01-12-2020,FALSE,01-12-2022,185,FALSE
17,109,546,700,330,Developed user-centric frontend applications.,12/21/2010,FALSE,12/21/2011,139,FALSE
18,10,767,354,441,Managed cross-functional agile teams.,07-02-2015,TRUE,,724,TRUE
19,483,333,541,"153,268,41",Managed cross-functional agile teams.,7/21/2012,FALSE,7/21/2015,372,TRUE
20,794,,951,"36,82,81,146",Managed cross-functional agile teams.,11/23/2022,TRUE,,393,TRUE
21,75,319,158,219,Managed cross-functional agile teams.,12-09-2023,FALSE,12-09-2026,919,FALSE
22,129,171,405,"26,21,89,223",Oversaw quality assurance and testing processes.,03-11-2020,TRUE,,854,TRUE
23,776,,715,219,Managed cross-functional agile teams.,6/21/2023,FALSE,6/21/2025,366,FALSE
24,198,736,955,"248,347,13",Automated reporting and data visualization tasks.,2/13/2019,TRUE,,,FALSE
25,224,,857,"1,51,18,415",Automated reporting and data visualization tasks.,11/29/2016,TRUE,,,FALSE
26,920,996,224,"154,56",Developed user-centric frontend applications.,5/30/2023,TRUE,,728,TRUE
27,581,259,230,"3,97,139",Managed cross-functional agile teams.,08-07-2019,FALSE,08-07-2022,496,TRUE
28,172,717,800,496,Managed cross-functional agile teams.,5/17/2023,TRUE,,644,FALSE
29,26,958,259,"470,214,31",Automated reporting and data visualization tasks.,9/28/2015,FALSE,9/28/2018,287,TRUE
30,661,573,644,133,Automated reporting and data visualization tasks.,5/16/2022,FALSE,5/16/2027,,FALSE
31,646,993,459,271,Managed cross-functional agile teams.,3/14/2015,TRUE,,402,TRUE
32,349,65,729,460,Managed cross-functional agile teams.,3/26/2012,FALSE,3/26/2013,666,FALSE
33,440,,791,476,Led DevOps efforts across multiple environments.,07-09-2015,FALSE,07-09-2019,484,FALSE
34,426,148,352,"3,04,425",Managed cross-functional agile teams.,11/30/2013,FALSE,11/30/2014,99,FALSE
35,59,842,799,"37,13",Managed cross-functional agile teams.,4/23/2016,TRUE,,350,TRUE
36,692,,850,"483,90",Automated reporting and data visualization tasks.,11/19/2020,TRUE,,,TRUE
37,987,433,703,"2,67,151",Developed user-centric frontend applications.,12/28/2023,FALSE,12/28/2027,914,FALSE
38,968,408,404,"3,19,82,143",Designed and deployed scalable backend services.,3/30/2012,TRUE,,,FALSE
39,434,695,904,"3,67,60,319",Automated reporting and data visualization tasks.,05-11-2017,FALSE,05-11-2018,801,TRUE
40,613,188,790,"2,22,497",Oversaw quality assurance and testing processes.,6/22/2019,FALSE,6/22/2021,,FALSE
41,467,164,307,247,Led DevOps efforts across multiple environments.,02-12-2014,TRUE,,1,TRUE
42,9,645,976,"29,34,46,409",Oversaw quality assurance and testing processes.,11-04-2020,FALSE,11-04-2023,,TRUE
43,852,217,720,459,Oversaw quality assurance and testing processes.,09-04-2011,FALSE,09-04-2015,289,FALSE
44,691,486,862,"31,91,34,380",Developed user-centric frontend applications.,6/30/2018,FALSE,6/30/2022,585,TRUE
45,240,,941,"41,93,08,209",Developed user-centric frontend applications.,05-08-2011,TRUE,,824,FALSE
46,354,,788,193,Managed cross-functional agile teams.,2/25/2023,TRUE,,443,FALSE
47,850,,965,"310,307,40",Automated reporting and data visualization tasks.,7/13/2011,FALSE,7/13/2012,586,TRUE
48,998,,292,479,Automated reporting and data visualization tasks.,10-03-2015,TRUE,,828,FALSE
49,888,659,40,"3,88,205",Oversaw quality assurance and testing processes.,12/20/2015,TRUE,,184,FALSE
50,217,204,788,84,Managed cross-functional agile teams.,6/27/2020,FALSE,6/27/2021,105,FALSE
51,437,420,828,"402,481,82",Managed cross-functional agile teams.,04-05-2019,FALSE,04-05-2024,677,FALSE
52,123,620,199,"42,62,58,403",Managed cross-functional agile teams.,11-06-2011,FALSE,11-06-2016,,FALSE
53,231,458,332,167,Developed user-centric frontend applications.,3/18/2014,TRUE,,506,FALSE
54,223,,987,"3,78,330",Designed and deployed scalable backend services.,05-10-2015,TRUE,,913,TRUE
55,850,,596,365,Automated reporting and data visualization tasks.,11/22/2022,FALSE,11/22/2026,656,TRUE
56,186,,62,"176,27",Designed and deployed scalable backend services.,12/28/2022,TRUE,,774,FALSE
57,313,,262,"16,53,15,143",Designed and deployed scalable backend services.,06-12-2023,FALSE,06-12-2026,111,TRUE
58,861,,940,361,Automated reporting and data visualization tasks.,12/17/2016,FALSE,12/17/2018,301,TRUE
59,816,,790,"441,358,2",Designed and deployed scalable backend services.,5/13/2018,FALSE,5/13/2023,141,TRUE
60,423,264,286,275,Led DevOps efforts across multiple environments.,4/16/2017,FALSE,4/16/2019,,TRUE
