GTS_SKILL_NAME,avg_self_rating,avg_chakuri_rating,avg_external_rating,n_users
Advanced Excel for Analysts,3.1875,3.0,3.28125,31
Cloud Computing with AWS,3.119047619047619,2.7857142857142856,3.380952380952381,39
Communication & Soft Skills,3.225,2.85,3.075,39
Cybersecurity Foundations,2.86046511627907,3.1627906976744184,3.1627906976744184,39
Data Science Bootcamp,3.075,3.075,3.075,38
Digital Marketing Fundamentals,2.72,3.1,3.22,48
Full Stack Web Development,3.020408163265306,3.204081632653061,2.4489795918367347,46
Python for AI & ML,2.473684210526316,3.263157894736842,2.8421052631578947,38
SQL for Beginners,2.5,2.75,2.8125,32
Web Development Essentials,3.1666666666666665,3.1944444444444446,2.8333333333333335,35
