GTS_SKILL_NAME,avg_self_rating,avg_chakuri_rating,avg_external_rating,n_users
Advanced Excel for Analysts,3.108108108108108,3.027027027027027,2.5405405405405403,36
Cloud Computing with AWS,2.9210526315789473,3.1842105263157894,3.3421052631578947,37
Communication & Soft Skills,3.225,2.625,3.075,36
Cybersecurity Foundations,2.953488372093023,3.3255813953488373,3.1627906976744184,38
Data Science Bootcamp,3.1666666666666665,2.8666666666666667,2.7333333333333334,29
Digital Marketing Fundamentals,3.1463414634146343,3.4634146341463414,2.975609756097561,40
Full Stack Web Development,2.8085106382978724,2.872340425531915,2.74468085106383,45
Python for AI & ML,2.5625,3.3958333333333335,3.0208333333333335,48
SQL for Beginners,2.7941176470588234,3.0588235294117645,2.9705882352941178,32
Web Development Essentials,3.0588235294117645,2.8823529411764706,2.823529411764706,32
